epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
43,2005.5,1.29275,1.03939,1.20494,0.68414,0.60319,0.63628,0.37562,1.07787,2.83867,0.99399,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,2050.51,1.27405,1.03429,1.19194,0.63425,0.62281,0.62828,0.37231,1.05975,2.00372,0.98155,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,2094.94,1.27965,1.02213,1.18642,0.70406,0.57763,0.64874,0.37884,1.06573,1.62271,0.98427,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,2141.42,1.25679,1.00124,1.18128,0.66848,0.60388,0.65372,0.38615,1.06285,1.36102,0.98695,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,2186.03,1.24854,0.99935,1.17427,0.68552,0.6055,0.65817,0.3861,1.04928,2.24564,0.96917,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,2231.27,1.25166,0.99803,1.1722,0.68788,0.57207,0.62806,0.37667,1.04122,1.33055,0.97459,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,2276.18,1.24572,0.99578,1.17175,0.67405,0.61432,0.65278,0.39532,1.03528,1.4523,0.97379,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,2320.99,1.2458,1.00799,1.16534,0.6932,0.62118,0.67494,0.40526,1.0342,1.1478,0.96958,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,2365.11,1.2304,0.98312,1.16365,0.69826,0.6004,0.65279,0.39614,1.03358,1.35835,0.96676,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,2410.06,1.22797,0.97281,1.1652,0.66626,0.61724,0.66251,0.40199,1.04308,1.54812,0.97693,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,2454.29,1.21881,0.96257,1.16233,0.67234,0.59963,0.63697,0.38943,1.02881,1.31103,0.97439,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,2499.25,1.22567,0.95978,1.15582,0.70746,0.58779,0.6561,0.39687,1.03195,1.34062,0.96137,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,2543.71,1.22533,0.9625,1.15777,0.68474,0.61158,0.66466,0.40206,1.02071,1.43977,0.95981,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,2588.94,1.20041,0.95029,1.14317,0.67903,0.60123,0.65443,0.3945,1.02242,1.21562,0.96187,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,2634.4,1.20864,0.95361,1.14835,0.70527,0.6113,0.6617,0.40146,1.01632,1.14848,0.96414,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,2678.5,1.19633,0.94862,1.14216,0.67608,0.58879,0.63147,0.38713,1.02125,1.17641,0.95367,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,2722.83,1.18213,0.93128,1.13712,0.68157,0.59898,0.65036,0.40128,1.02114,1.30964,0.95121,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,2768.1,1.19585,0.93748,1.13872,0.68105,0.60584,0.65998,0.40567,1.00943,1.19026,0.95482,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,2811.76,1.17732,0.92124,1.12869,0.6901,0.63113,0.67178,0.4118,1.00157,1.1584,0.94473,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,2855.92,1.18483,0.92234,1.13459,0.68531,0.60557,0.66867,0.4158,1.00034,1.30708,0.94404,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,2900.17,1.17773,0.91877,1.13259,0.69477,0.59397,0.6528,0.40293,1.00838,1.21848,0.95134,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,2945.08,1.17132,0.90526,1.13034,0.7207,0.60099,0.66629,0.41104,0.9985,1.18244,0.94993,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,2990.96,1.15,0.90413,1.12549,0.69638,0.61122,0.66387,0.40669,1.00819,1.38919,0.96088,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,3035.86,1.16956,0.90143,1.13211,0.71296,0.58392,0.65876,0.40269,0.99879,1.58467,0.95089,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,3080.98,1.14772,0.9024,1.12402,0.71428,0.5702,0.64836,0.4008,0.9847,1.4922,0.94487,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,3126.03,1.14453,0.88973,1.1167,0.67052,0.59993,0.6505,0.40554,0.98494,1.52781,0.94514,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,3170.43,1.14662,0.8899,1.12178,0.73952,0.57303,0.65929,0.41249,0.97632,1.21437,0.941,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,3215.35,1.12563,0.87728,1.10904,0.74126,0.57,0.6586,0.41185,0.98464,1.33884,0.94518,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,3260.07,1.13675,0.88625,1.11462,0.72776,0.57972,0.65076,0.40808,0.98764,1.39089,0.95011,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,3305.21,1.10938,0.86257,1.10764,0.72363,0.5922,0.65506,0.41092,0.98708,1.37902,0.95304,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,3352.99,1.10854,0.85422,1.10333,0.65743,0.61881,0.6607,0.41916,0.97824,1.24702,0.93904,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
